10000,select top 50000 * from posts where posts.ViewCount > 10000 ORDER BY posts.ViewCount desc
sdasdasd,"SELECT avg(DATEDIFF(ww,CreationDate, GETDATE()))
FROM Users;"
gfhf,select * from posts
GetReplys,SELECT TOP 20 * FROM users WHERE DisplayName LIKE '%Marinov%'
MAHHHH,"select *
from badges"
hibernate-orm,select * from Comments where Text='*hibernate*'
Quit,SELECT DisplayName FROM Users WHERE Id<100000
Kewlness,"Select score, parentid from posts where score is not null"
Marr22,"select OwnerUserId, Id from Posts 
where PostTypeId = 2 
order by OwnerUserId"
answer,"select Id, Name from PostTypes where Name='Answer'"
joe,"select p.Id, p.Body
from Posts p
inner join PostTags pt on p.Id = pt.PostId
where pt.TagId = 17 and p.Id < 1000"
1.,"select count(*)
from
(
select
u.id
from users u
join posts p on p.owneruserid = u.id
where lower(u.location) like '%russia%' and tags like '%sql%'
group by u.id
having min(p.creationdate)>='2016-01-01'
)x;"
aaaa,"SELECT TOP 20
    ROW_NUMBER() OVER(ORDER BY Reputation DESC) AS [#], 
    Id AS [User Link], 
    Reputation
FROM
    Users
WHERE
    LOWER(Location) LIKE '%bulgar%'
    
ORDER BY
    Reputation DESC;"
mine,"-- Top 30 Ruby Answerers in the last 30 days in London
select top 15
  u.displayname,
  number_of_answers = count(*), 
  total_score = sum(p.score)
from
  users u
join 
  posts p on p.owneruserid = u.id
join 
  posts pp on p.parentid = pp.id
join 
  posttags pt on pt.postid = pp.id
join 
  tags t on t.id = pt.tagid
where 
  t.tagname like '%scala%' 
 and 
  p.creationdate > (getdate()-30)
 and 
  u.location like '%London%'
group by 
  u.displayname
order by 
  2 desc;"
blablabla,"select top(5) * from posts as p
join users u on u.id = p.owneruserid"
views_tags_reputation,"create table #Total_Tags_Count (postId int, totalTagCount int, numTags int)
insert #Total_Tags_Count
select 
     Posts.Id,
     Sum(Tags.Count), 
     Count(*)
 from Posts
     inner join PostTags on PostTags.PostId = Posts.Id
     inner join Tags on Tags.Id = PostTags.TagId    
 where  Posts.ParentId is null
 group by Posts.Id

select top 50000
   Posts.Id, 
   Posts.Score as postScore,
   Posts.ViewCount as views,
   Posts.AnswerCount as answers,
   Posts.CommentCount as comments,
   totalTagCount,
   numTags,
   Users.Reputation as ownerRep
 from Posts
   inner join Users on Users.Id = Posts.OwnerUserId
   inner join  #Total_Tags_Count as ttc on ttc.postId = Posts.Id
 where  Posts.ParentId is null 
 and Posts.CreationDate>='01-01-2013'
 and Posts.CreationDate<='12-31-2013'"
hh,"select top 50000 * from posts where posts.ViewCount>1000000 ORDER BY 
posts.ViewCount"
ssdd,"SELECT TOP 10 postid, count(id) FROM PostLinks group by postid ORDER BY count(id) DESC"
HomeWork3,"-- Søk etter bruker
-- Søker etter en bruker basert på bruddstykker av navnet


select DisplayName from Users;"
Tagss,SELECT * FROM Tags WHERE TagName='java';
Res,"select top 10000 Posts.id, Posts.body from posts where posts.ViewCount>10000"
cracow_users,"SELECT
    ROW_NUMBER() OVER(ORDER BY Reputation DESC) AS [#], 
    Id AS [User Link], 
    Reputation
FROM
    Users
WHERE
    (LOWER(Location) LIKE '%cracow%'
    OR UPPER(Location) LIKE '%CRACOW%'
    or Location like '%Cracow%'
    or LOWER(Location) LIKE '%krakow%'
    OR UPPER(Location) LIKE '%KRAKOW%'
    or Location like '%Krakow%')
ORDER BY
    Reputation DESC;"
user,"select datediff(day,LastAccessDate,getdate()),Id from Users"
Test,"SELECT
    ROW_NUMBER() OVER(ORDER BY Reputation DESC) AS [#], 
    Id AS [User Link], 
    Reputation
FROM
    Users
WHERE
    LOWER(Location) LIKE '%Malaysia%'
    OR UPPER(Location) LIKE '%Malaysia%'
    or Location like '%Malaysia%'
    AND Reputation >= 1000
ORDER BY
    Reputation DESC;"
mockable-android,"select top 10 *
from PostFeedback
where PostId=54136791344"
video,select PostTypeID from Posts Where Id >1
